name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
IndianOil,"Lock No 1004, 121, Gandhi Irwin Rd, Egmore, Chennai, Tamil Nadu 600008",locator.iocl.com,078706 27977,9.0,1.6,Petrol Pump, Closes 11pm
IndianOil,"No 89, Lk 1035/122, Lock, 04687, Spur Tank road, Chetpet, Chennai, Tamil Nadu 600031",locator.iocl.com,095661 58878,341.0,3.9,Petrol Pump, Closes 11:30pm
IndianOil,"Door No 1, Lock No 1041, 122/1, Raja Muthiah Rd, Periamet, Kannappar Thidal, Chennai, Tamil Nadu 600112",locator.iocl.com,098400 25944,131.0,2.8,Petrol Pump, Closes 11:30pm
KOHINOOR -Bharat Petroleum Fuel Station,"Part of Ground floor, Door No. 225, 3, Anna Salai, Express Estate, Thousand Lights, Chennai, Tamil Nadu 600002",,,401.0,4.0,Petrol Pump,
Bharat Petroleum Petrol Station,"No:6, Raja Annamalai Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",bharatpetroleum.com,1800 22 4344,105.0,3.8,Petrol Pump, Closes 10:30pm
"Bharat Petroleum, Petrol Pump CO,ANNA SALAI","Mount Road, Anna Salai, Chintadripet, Chennai, Tamil Nadu 600002",,,457.0,3.9,Petrol Pump, Closes 10:30pm
Paradise Express Pump,"37MF+W2Q, VP Hall Compound Rd, Periamet, Kannappar Thidal, Poongavanapuram, Chennai, Tamil Nadu 600003",,,3.0,3.7,Petrol Pump,
Hindustan Petroleum Corporation Limited,"2B, S No, Door No 94, 94/2C, Periamet, Chennai, Tamil Nadu 600007",petrolpump.hpretail.in,099529 27248,,,Petrol Pump, Closes 10pm
IndianOil,"No 45, Lock 1092, 121 Rdvepery, Jermiah Rd, Periamet, Vepery, Chennai, Tamil Nadu 600007",locator.iocl.com,098381 06303,42.0,4.0,Petrol Pump, Closes 11:30pm
IndianOil,"No 106, 108, Lock No 1067/121, Poonamallee High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",locator.iocl.com,094449 05703,36.0,4.1,Petrol Pump, Closes 11pm
"Bharat Petroleum, Petrol Pump -Jalphiroj & Co.","STERLING ROAD CHENNAI, Chennai, Tamil Nadu 600034",,,848.0,4.1,Petrol Pump, Closes 10:30pm
IOC Outlet,"37H3+CGP, Egmore, Chennai, Tamil Nadu 600008",iocl.com,1800 233 3555,7.0,3.4,Petrol Pump,
"Bharat Petroleum, Petrol Pump -The Elite Petrol Service","27X3+P6W, Cathedral Rd, beside Bharat petroleum pum, Ellaiamman Colony, Teynampet, Chennai, Tamil Nadu 600006",,,417.0,4.0,Petrol Pump,
Cng petrol pump,"13, E Spur Tank Rd, M.S. Nagar, Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600031",,,31.0,3.6,Fuel supplier,
IndianOil,"No 89, Lk 1035/122, Lock, 04687, Spur Tank road, Chetpet, Chennai, Tamil Nadu 600031",locator.iocl.com,095661 58878,341.0,3.9,Petrol Pump, Closes 11:30pm
Kumaran Service Station HP Petrol Pump,"Poonamallee High Rd, Dasspuram, Chetpet, Chennai, Tamil Nadu 600010",,,85.0,4.0,Petrol Pump,
IndianOil,"174E V R Periyar Salai, Kilpauk, Chetpet, Chennai, Tamil Nadu 600010",locator.iocl.com,097870 91700,107.0,4.0,Petrol Pump, Closes 11:30pm
Bharat Petroleum,"310, Poonamallee High Rd, Chetpet, Chennai, Tamil Nadu 600010",bharatpetroleum.in,1800 22 4344,163.0,3.1,Petrol Pump,
Hindustan Petroleum Corporation Limited,"260, EVR Periyar Salai, New Bupathy Nagar, Kilpauk, Chennai, Tamil Nadu 600010",petrolpump.hpretail.in,099401 49001,188.0,4.0,Petrol Pump,
Bharat Petroleum Petrol Station,"No:6, Raja Annamalai Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",bharatpetroleum.com,1800 22 4344,105.0,3.8,Petrol Pump, Closes 10:30pm
"Bharat Petroleum, Petrol Pump -Jalphiroj & Co.","STERLING ROAD CHENNAI, Chennai, Tamil Nadu 600034",,,848.0,4.1,Petrol Pump, Closes 10:30pm
"Bharat Petroleum, Petrol Pump -S.L.Narasimham","PH ROAD (DAILY THANTHI OFF, Chennai, Tamil Nadu 600084",bharatpetroleum.in,099405 44806,434.0,4.1,Petrol Pump,
Hindustan Petroleum Corporation Limited,"737, Poonamallee High Rd, near PACHAIYAPPAS COLLEGE, Thandavaraya, Shenoy Nagar, Chennai, Tamil Nadu 600030",petrolpump.hpretail.in,098408 84517,218.0,3.8,Petrol Pump,
Hindustan Petroleum Corporation Limited,"9A, Balfour Road, Davidpuram, Kilpauk, Chennai, Tamil Nadu 600010",petrolpump.hpretail.in,094440 60010,63.0,4.0,Petrol Pump, Closes 10pm
Hindustan Petroleum Corporation Limited,"26, New Avadi Rd, Kilpauk, Chennai, Tamil Nadu 600010",petrolpump.hpretail.in,098840 49001,191.0,3.9,Petrol Pump,
"Bharat Petroleum, Petrol Pump","No.79, Purasaiwakkam, Chennai, Tamil Nadu 600007",bharatpetroleum.in,,45.0,4.2,Petrol Pump, Closes 10:30pm
HP Fuel Station MSHSD AUTO CAR CARE Pantheon Road,"36, Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008",,044 4853 1924,249.0,4.0,Petrol Pump, Closes 11pm
IndianOil,"No 106, 108, Lock No 1067/121, Poonamallee High Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",locator.iocl.com,094449 05703,36.0,4.1,Petrol Pump, Closes 11pm
IndianOil,"Lock No 1013, 122, Poonamallee High Rd, Shenoy Nagar, Thandavaraya, Aminjikarai, Chennai, Tamil Nadu 600030",locator.iocl.com,093823 31135,246.0,4.0,Petrol Pump, Closes 11:30pm
Hindustan Petroleum Corporation Limited,"No 22 & 23, Barracks Rd, Pattalam, Choolai, Chennai, Tamil Nadu 600012",petrolpump.hpretail.in,098400 15712,,,Petrol Pump, Closes 10pm
LPG Gas,"No.26, beside Hp petrol pump, Kilpauk, Chennai, Tamil Nadu 600010",,,,,Petrol Pump,
Torrent Gas CNG Station,"Sri Thirumurugan Agency IOCL Station, 349, Wall Tax Rd, Tansi, George Town, Chennai, Tamil Nadu 600001",torrentgas.com,1800 2125 6789,109.0,3.8,Compressed natural gas station, Closes 12am
Bharat Petroleum Pump Station Ayanavaram,"Medavakkam Tank Rd, Thiruvalluvar Nagar, Nammalwarpet, Ayanavaram, Chennai, Tamil Nadu 600012",bharatpetroleum.in,,189.0,3.4,Petrol Pump,
Hindustan Petroleum Corporation Limited,"26, New Avadi Rd, Kilpauk, Chennai, Tamil Nadu 600010",petrolpump.hpretail.in,098840 49001,191.0,3.9,Petrol Pump,
Hindustan Petroleum Corporation Limited,"9A, Balfour Road, Davidpuram, Kilpauk, Chennai, Tamil Nadu 600010",petrolpump.hpretail.in,094440 60010,63.0,4.0,Petrol Pump, Closes 10pm
Hindustan Petroleum Corporation Limited,"260, EVR Periyar Salai, New Bupathy Nagar, Kilpauk, Chennai, Tamil Nadu 600010",petrolpump.hpretail.in,099401 49001,188.0,4.0,Petrol Pump,
Bharat Petroleum Pump Station Ayanavaram,"Medavakkam Tank Rd, Thiruvalluvar Nagar, Nammalwarpet, Ayanavaram, Chennai, Tamil Nadu 600012",bharatpetroleum.in,,189.0,3.4,Petrol Pump,
Premier Auto LPG Gas Bunk,"2, Manonmani Ammal Rd, Pava Puri Colony, Kilpauk, Chennai, Tamil Nadu 600010",,,1.0,1.0,Petrol Pump,
"Bharat Petroleum, Petrol Pump","No.79, Purasaiwakkam, Chennai, Tamil Nadu 600007",bharatpetroleum.in,,45.0,4.2,Petrol Pump, Closes 10:30pm
Nayara petrol bunk,"36JM+RFC, Halls Rd, Telecom Quarters, Shenoy Nagar, Chennai, Tamil Nadu 600010",,1800 120 0330,222.0,4.0,Petrol Pump,
Hindustan Petroleum Corporation Limited,"737, Poonamallee High Rd, near PACHAIYAPPAS COLLEGE, Thandavaraya, Shenoy Nagar, Chennai, Tamil Nadu 600030",petrolpump.hpretail.in,098408 84517,218.0,3.8,Petrol Pump,
Cng petrol pump,"13, E Spur Tank Rd, M.S. Nagar, Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600031",,,31.0,3.6,Fuel supplier,
IndianOil,"Door No 243, 1 243/2 & 243/3, Brick Kiln Rd, Otteri, Purasaiwakkam, Chennai, Tamil Nadu 600012",locator.iocl.com,098402 33033,100.0,4.2,Petrol Pump, Closes 11pm
Kumaran Service Station HP Petrol Pump,"Poonamallee High Rd, Dasspuram, Chetpet, Chennai, Tamil Nadu 600010",,,85.0,4.0,Petrol Pump,
IndianOil,"174E V R Periyar Salai, Kilpauk, Chetpet, Chennai, Tamil Nadu 600010",locator.iocl.com,097870 91700,107.0,4.0,Petrol Pump, Closes 11:30pm
